Case Number,Date,Type,Country,Sex ,Age,Fatal (Y/N)
1958.09.13,1958-09-13,Unprovoked,ANDAMAN,M,32,Y
1971.06.01,1971-06-01,Unprovoked,BRITISH ISLES,M,32,N
1933.09.27.R,1933-09-27,Boating,PALESTINE,M,0,N
1900.01.28,1900-01-28,Unprovoked,AUSTRALIA,M,0,N
1900.07.14,1900-07-14,Unknown,USA,M,0,Y
1900.07.31,1900-07-31,Unprovoked,CROATIA,M,0,Y
1900.08.21,1900-08-21,Unprovoked,USA,M,0,N
1900.09.05,1900-09-05,Unprovoked,USA,M,0,N
1900.09.13,1900-09-13,Unprovoked,USA,M,0,UNKNOWN
1900.09.15,1900-09-15,Unprovoked,AUSTRALIA,M,0,N
1900.10.27,1900-10-27,Unknown,SOUTH AFRICA,M,0,Y
1900.11.14,1900-11-14,Unprovoked,SOUTH AFRICA,M,30,Y
1900.12.27,1900-12-27,Unprovoked,AUSTRALIA,M,0,Y
1901.01.30,1901-01-30,Unprovoked,AUSTRALIA,M,0,Y
1901.06.24,1901-06-24,Unprovoked,PHILIPPINES,M,0,N
1901.06.29.R,1901-06-29,Unknown,YEMEN ,M,0,UNKNOWN
1901.07.17,1901-07-17,Unknown,ITALY,M,20,UNKNOWN
1901.07.30,1901-07-30,Unprovoked,SOUTH AFRICA,M,29,Y
1901.12.01,1901-12-01,Unprovoked,AUSTRALIA,M,10,N
1902.01.19,1902-01-19,Unprovoked,AUSTRALIA,M,16,N
1902.01.19.R,1902-01-19,Unknown,SOUTH AFRICA,M,0,Y
1902.01.25.R,1902-01-25,Unprovoked,AUSTRALIA,M,0,Y
1902.02.22.R,1902-02-22,Provoked,NEW ZEALAND,M,0,N
1902.04.00,1902-04-02,Unknown,SOUTH AFRICA,M,0,Y
1902.06.02,1902-06-02,Unprovoked,PHILIPPINES,M,0,N
1902.06.00,1902-06-02,Unprovoked,EGYPT,M,0,N
1902.07.06,1902-07-06,Provoked,USA,M,0,N
1902.07.15,1902-07-15,Provoked,ITALY,M,0,N
1902.08.08,1902-08-08,Unprovoked,USA,M,0,Y
1902.08.24.R,1902-08-24,Boating,CROATIA,M,0,N
1902.08.28.R,1902-08-29,Unprovoked,ITALY,M,0,Y
1902.11.01.R,1902-11-01,Unprovoked,USA,M,0,N
